#x	Mode 1: Theta Y	Mode 2: Theta Y	Mode 3: Theta Y	Mode 4: Theta Y	Mode 5: Theta Y	Mode 6: Theta Y	Mode 7: Theta Y	Mode 8: Theta Y	Mode 9: Theta Y	Mode 10: Theta Y	Mode 11: Theta Y	Mode 12: Theta Y	Mode 13: Theta Y	Mode 14: Theta Y	Mode 15: Theta Y	Mode 16: Theta Y	Mode 17: Theta Y	Mode 18: Theta Y	Mode 19: Theta Y	Mode 20: Theta Y
0.36667000	-0.02683000	0.03940000	-0.07547000	0.14238000	-0.04468000	-0.10402000	0.12901000	-0.00148000	-0.12745000	0.10572000	0.04047000	-0.13845000	0.00000000	0.07313000	0.07792000	-0.13674000	0.03467000	0.00000000	0.10769000	-0.12304000
0.37333000	-0.02716000	0.03727000	-0.08146000	0.14082000	-0.03183000	-0.11426000	0.12020000	0.02052000	-0.13585000	0.08546000	0.06869000	-0.13875000	0.00000000	0.03997000	0.10693000	-0.12345000	-0.00985000	0.00000000	0.13064000	-0.09258000
0.38000000	-0.02748000	0.03508000	-0.08725000	0.13853000	-0.01869000	-0.12298000	0.10916000	0.04201000	-0.13997000	0.06184000	0.09360000	-0.13106000	0.00000000	0.00409000	0.12749000	-0.09888000	-0.05337000	0.00000000	0.13822000	-0.04986000
0.38667000	-0.02779000	0.03282000	-0.09283000	0.13552000	-0.00540000	-0.13006000	0.09610000	0.06247000	-0.13966000	0.03578000	0.11401000	-0.11580000	0.00000000	-0.03207000	0.13791000	-0.06526000	-0.09130000	0.00000000	0.12943000	-0.00050000
0.39333000	-0.02810000	0.03050000	-0.09817000	0.13179000	0.00793000	-0.13542000	0.08127000	0.08139000	-0.13494000	0.00832000	0.12893000	-0.09388000	0.00000000	-0.06604000	0.13741000	-0.02570000	-0.11971000	0.00000000	0.10540000	0.04889000
0.40000000	-0.02840000	0.02812000	-0.10327000	0.12737000	0.02118000	-0.13899000	0.06493000	0.09832000	-0.12597000	-0.01948000	0.13766000	-0.06655000	0.00000000	-0.09553000	0.12604000	0.01622000	-0.13568000	0.00000000	0.06895000	0.09185000
0.40667000	-0.02870000	0.02569000	-0.10810000	0.12229000	0.03424000	-0.14070000	0.04739000	0.11282000	-0.11301000	-0.04651000	0.13976000	-0.03537000	0.00000000	-0.11851000	0.10464000	0.05666000	-0.13745000	0.00000000	0.02433000	0.12258000
0.41333000	-0.02899000	0.02321000	-0.11266000	0.11656000	0.04699000	-0.14056000	0.02897000	0.12455000	-0.09649000	-0.07170000	0.13514000	-0.00216000	0.00000000	-0.13343000	0.07497000	0.09191000	-0.12493000	0.00000000	-0.02313000	0.13708000
0.42000000	-0.02928000	0.02067000	-0.11692000	0.11021000	0.05932000	-0.13855000	0.01002000	0.13322000	-0.07693000	-0.09408000	0.12403000	0.03118000	0.00000000	-0.13928000	0.03936000	0.11879000	-0.09939000	0.00000000	-0.06789000	0.13347000
0.42667000	-0.02956000	0.01809000	-0.12087000	0.10329000	0.07111000	-0.13470000	-0.00912000	0.13860000	-0.05493000	-0.11274000	0.10694000	0.06271000	0.00000000	-0.13564000	0.00062000	0.13479000	-0.06345000	0.00000000	-0.10461000	0.11208000
0.43333000	-0.02984000	0.01547000	-0.12451000	0.09583000	0.08228000	-0.12906000	-0.02809000	0.14059000	-0.03120000	-0.12696000	0.08471000	0.09064000	0.00000000	-0.12278000	-0.03817000	0.13849000	-0.02093000	0.00000000	-0.12899000	0.07589000
