#x	Mode 1: z	Mode 2: z	Mode 3: z	Mode 4: z	Mode 5: z	Mode 6: z	Mode 7: z	Mode 8: z	Mode 9: z	Mode 10: z	Mode 11: z	Mode 12: z	Mode 13: z	Mode 14: z	Mode 15: z	Mode 16: z	Mode 17: z	Mode 18: z	Mode 19: z	Mode 20: z
0.40000000	0.04597000	-0.13671000	-0.09659000	-0.04107000	0.07086000	-0.00950000	-0.04407000	0.03073000	0.01671000	-0.03350000	0.00542000	0.02448000	0.00000000	-0.01862000	-0.00999000	0.02181000	-0.00412000	0.00000000	-0.01666000	0.01350000
0.40667000	0.04735000	-0.13801000	-0.09151000	-0.04706000	0.06952000	-0.00278000	-0.04677000	0.02565000	0.02246000	-0.03191000	-0.00126000	0.02694000	0.00000000	-0.01345000	-0.01556000	0.02004000	0.00249000	0.00000000	-0.01892000	0.00829000
0.41333000	0.04873000	-0.13918000	-0.08621000	-0.05280000	0.06757000	0.00398000	-0.04861000	0.01994000	0.02750000	-0.02906000	-0.00788000	0.02784000	0.00000000	-0.00737000	-0.01990000	0.01645000	0.00884000	0.00000000	-0.01895000	0.00199000
0.42000000	0.05013000	-0.14023000	-0.08070000	-0.05824000	0.06502000	0.01069000	-0.04954000	0.01375000	0.03168000	-0.02507000	-0.01413000	0.02714000	0.00000000	-0.00078000	-0.02266000	0.01135000	0.01428000	0.00000000	-0.01674000	-0.00458000
0.42667000	0.05154000	-0.14116000	-0.07499000	-0.06337000	0.06189000	0.01725000	-0.04957000	0.00721000	0.03485000	-0.02009000	-0.01970000	0.02488000	0.00000000	0.00585000	-0.02363000	0.00522000	0.01822000	0.00000000	-0.01256000	-0.01054000
0.43333000	0.05297000	-0.14197000	-0.06910000	-0.06815000	0.05820000	0.02359000	-0.04867000	0.00049000	0.03692000	-0.01432000	-0.02431000	0.02118000	0.00000000	0.01209000	-0.02272000	-0.00139000	0.02026000	0.00000000	-0.00690000	-0.01510000
0.44000000	0.05441000	-0.14265000	-0.06305000	-0.07256000	0.05400000	0.02961000	-0.04688000	-0.00623000	0.03783000	-0.00799000	-0.02776000	0.01626000	0.00000000	0.01751000	-0.02001000	-0.00787000	0.02020000	0.00000000	-0.00042000	-0.01767000
0.44667000	0.05586000	-0.14320000	-0.05684000	-0.07658000	0.04932000	0.03525000	-0.04422000	-0.01281000	0.03754000	-0.00133000	-0.02988000	0.01040000	0.00000000	0.02173000	-0.01572000	-0.01364000	0.01802000	0.00000000	0.00611000	-0.01788000
0.45333000	0.05732000	-0.14362000	-0.05050000	-0.08018000	0.04419000	0.04042000	-0.04074000	-0.01906000	0.03607000	0.00537000	-0.03055000	0.00395000	0.00000000	0.02447000	-0.01018000	-0.01815000	0.01397000	0.00000000	0.01191000	-0.01573000
0.46000000	0.05880000	-0.14390000	-0.04404000	-0.08335000	0.03868000	0.04505000	-0.03651000	-0.02485000	0.03346000	0.01186000	-0.02976000	-0.00274000	0.00000000	0.02556000	-0.00383000	-0.02102000	0.00846000	0.00000000	0.01632000	-0.01150000
0.46667000	0.06029000	-0.14406000	-0.03748000	-0.08607000	0.03281000	0.04908000	-0.03160000	-0.03003000	0.02979000	0.01788000	-0.02754000	-0.00926000	0.00000000	0.02490000	0.00282000	-0.02195000	0.00207000	0.00000000	0.01879000	-0.00574000
0.47333000	0.06179000	-0.14408000	-0.03084000	-0.08832000	0.02666000	0.05247000	-0.02611000	-0.03447000	0.02518000	0.02320000	-0.02399000	-0.01525000	0.00000000	0.02255000	0.00925000	-0.02089000	-0.00454000	0.00000000	0.01905000	0.00078000
0.48000000	0.06330000	-0.14396000	-0.02413000	-0.09010000	0.02027000	0.05516000	-0.02014000	-0.03806000	0.01978000	0.02761000	-0.01929000	-0.02037000	0.00000000	0.01866000	0.01494000	-0.01792000	-0.01067000	0.00000000	0.01706000	0.00720000
0.48667000	0.06482000	-0.14370000	-0.01738000	-0.09139000	0.01369000	0.05712000	-0.01379000	-0.04072000	0.01375000	0.03093000	-0.01365000	-0.02431000	0.00000000	0.01351000	0.01945000	-0.01331000	-0.01569000	0.00000000	0.01306000	0.01266000
0.49333000	0.06636000	-0.14331000	-0.01060000	-0.09219000	0.00699000	0.05833000	-0.00720000	-0.04237000	0.00729000	0.03303000	-0.00737000	-0.02684000	0.00000000	0.00743000	0.02242000	-0.00748000	-0.01908000	0.00000000	0.00752000	0.01644000
0.50000000	0.06790000	-0.14277000	-0.00381000	-0.09250000	0.00023000	0.05876000	-0.00046000	-0.04298000	0.00060000	0.03382000	-0.00073000	-0.02784000	0.00000000	0.00085000	0.02361000	-0.00097000	-0.02048000	0.00000000	0.00109000	0.01805000
0.50667000	0.06946000	-0.14210000	0.00296000	-0.09231000	-0.00653000	0.05841000	0.00628000	-0.04253000	-0.00612000	0.03329000	0.00595000	-0.02722000	0.00000000	-0.00578000	0.02293000	0.00562000	-0.01973000	0.00000000	-0.00547000	0.01726000
0.51333000	0.07102000	-0.14129000	0.00971000	-0.09163000	-0.01324000	0.05729000	0.01290000	-0.04104000	-0.01263000	0.03144000	0.01234000	-0.02504000	0.00000000	-0.01203000	0.02043000	0.01171000	-0.01694000	0.00000000	-0.01138000	0.01419000
0.52000000	0.07260000	-0.14034000	0.01642000	-0.09045000	-0.01984000	0.05542000	0.01929000	-0.03854000	-0.01875000	0.02835000	0.01814000	-0.02141000	0.00000000	-0.01746000	0.01631000	0.01672000	-0.01238000	0.00000000	-0.01595000	0.00923000
0.52667000	0.07419000	-0.13924000	0.02306000	-0.08879000	-0.02625000	0.05280000	0.02532000	-0.03509000	-0.02428000	0.02415000	0.02306000	-0.01655000	0.00000000	-0.02169000	0.01090000	0.02021000	-0.00652000	0.00000000	-0.01864000	0.00305000
