#x	Mode 1: Theta Y	Mode 2: Theta Y	Mode 3: Theta Y	Mode 4: Theta Y	Mode 5: Theta Y	Mode 6: Theta Y	Mode 7: Theta Y	Mode 8: Theta Y	Mode 9: Theta Y	Mode 10: Theta Y	Mode 11: Theta Y	Mode 12: Theta Y	Mode 13: Theta Y	Mode 14: Theta Y	Mode 15: Theta Y	Mode 16: Theta Y	Mode 17: Theta Y	Mode 18: Theta Y	Mode 19: Theta Y	Mode 20: Theta Y
0.06234000	-0.00500000	-0.03349000	-0.08804000	-0.12271000	0.00000000	-0.13717000	-0.14157000	-0.13636000	-0.12229000	0.00000000	-0.10077000	0.00000000	-0.07249000	-0.03957000	0.00000000	-0.00350000	0.03400000	0.00000000	0.07140000	0.10674000
0.06857000	-0.00548000	-0.03628000	-0.09402000	-0.12860000	0.00000000	-0.14024000	-0.13999000	-0.12864000	-0.10740000	0.00000000	-0.07821000	0.00000000	-0.04251000	-0.00296000	0.00000000	0.03831000	0.07882000	0.00000000	0.11685000	0.14975000
0.07481000	-0.00596000	-0.03897000	-0.09948000	-0.13336000	0.00000000	-0.14151000	-0.13590000	-0.11780000	-0.08905000	0.00000000	-0.05225000	0.00000000	-0.00979000	0.03502000	0.00000000	0.07936000	0.11998000	0.00000000	0.15503000	0.18137000
0.08104000	-0.00643000	-0.04156000	-0.10444000	-0.13701000	0.00000000	-0.14103000	-0.12944000	-0.10414000	-0.06778000	0.00000000	-0.02379000	0.00000000	0.02431000	0.07253000	0.00000000	0.11728000	0.15469000	0.00000000	0.18290000	0.19864000
0.08727000	-0.00690000	-0.04405000	-0.10890000	-0.13958000	0.00000000	-0.13886000	-0.12076000	-0.08798000	-0.04418000	0.00000000	0.00621000	0.00000000	0.05844000	0.10776000	0.00000000	0.14994000	0.18065000	0.00000000	0.19831000	0.20000000
0.09351000	-0.00736000	-0.04643000	-0.11286000	-0.14108000	0.00000000	-0.13508000	-0.11004000	-0.06969000	-0.01887000	0.00000000	0.03680000	0.00000000	0.09127000	0.13909000	0.00000000	0.17551000	0.19612000	0.00000000	0.20000000	0.18519000
0.09974000	-0.00782000	-0.04872000	-0.11633000	-0.14153000	0.00000000	-0.12975000	-0.09747000	-0.04963000	0.00750000	0.00000000	0.06703000	0.00000000	0.12154000	0.16502000	0.00000000	0.19251000	0.20000000	0.00000000	0.18769000	0.15527000
0.10597000	-0.00828000	-0.05090000	-0.11930000	-0.14097000	0.00000000	-0.12297000	-0.08325000	-0.02820000	0.03430000	0.00000000	0.09597000	0.00000000	0.14811000	0.18437000	0.00000000	0.20000000	0.19199000	0.00000000	0.16222000	0.11272000
0.11221000	-0.00873000	-0.05298000	-0.12179000	-0.13942000	0.00000000	-0.11482000	-0.06759000	-0.00581000	0.06088000	0.00000000	0.12273000	0.00000000	0.16996000	0.19623000	0.00000000	0.19751000	0.17250000	0.00000000	0.12535000	0.06098000
0.11844000	-0.00918000	-0.05497000	-0.12380000	-0.13690000	0.00000000	-0.10541000	-0.05072000	0.01714000	0.08660000	0.00000000	0.14652000	0.00000000	0.18627000	0.20000000	0.00000000	0.18508000	0.14264000	0.00000000	0.07963000	0.00430000
